Date,Leverage,Profitability,Investment,Dividend Yield
4/11/2016,2.2,137.7574751,-0.052714398,3.60%
4/12/2016,2.2,137.7574751,-0.052714398,3.60%
4/13/2016,2.2,137.7574751,-0.052714398,3.60%
4/14/2016,2.2,137.7574751,-0.052714398,3.60%
4/15/2016,2.2,137.7574751,-0.052714398,3.60%
4/16/2016,2.2,137.7574751,-0.052714398,3.60%
4/17/2016,2.2,137.7574751,-0.052714398,3.60%
4/18/2016,2.2,137.7574751,-0.052714398,3.60%
4/19/2016,2.2,137.7574751,-0.052714398,3.60%
4/20/2016,2.2,137.7574751,-0.052714398,3.60%
4/21/2016,2.2,137.7574751,-0.052714398,3.60%
4/22/2016,2.2,137.7574751,-0.052714398,3.60%
