Date,Size,P/B RATIO,,,,,
12/2/16,"112,110,920,000",3.386,,,,,
12/5/16,"112,110,920,000",3.386,,,,,
12/6/16,"112,110,920,000",3.386,,,,,
12/7/16,"112,110,920,000",3.386,,,,,
12/8/16,"112,110,920,000",3.386,,,,,
12/9/16,"112,110,920,000",3.386,,,,,
12/12/16,"112,110,920,000",3.386,,,,,
12/13/16,"112,110,920,000",3.386,,,,,
12/14/16,"112,110,920,000",3.386,,,,,
12/15/16,"112,110,920,000",3.386,,,,,
12/16/16,"112,110,920,000",3.386,,,,,
12/19/16,"112,110,920,000",3.386,,,,,
12/20/16,"112,110,920,000",3.386,,,,,
12/21/16,"112,110,920,000",3.386,,,,,
12/22/16,"112,110,920,000",3.386,,,,,
12/23/16,"112,110,920,000",3.386,,,,,
12/26/16,"112,110,920,000",3.386,,,,,
12/27/16,"112,110,920,000",3.386,,,,,
12/28/16,"112,110,920,000",3.386,,,,,
12/29/16,"112,110,920,000",3.386,,,,,
12/30/16,"112,110,920,000",3.386,,,,,
1/2/17,"152,328,667,848",4.046,,,,,
1/3/17,"152,328,667,848",4.046,,,,,
1/4/17,"152,328,667,848",4.046,,,,,
1/5/17,"152,328,667,848",4.046,,,,,
1/6/17,"152,328,667,848",4.046,,,,,
1/9/17,"152,328,667,848",4.046,,,,,
1/10/17,"152,328,667,848",4.046,,,,,
1/11/17,"152,328,667,848",4.046,,,,,
1/12/17,"152,328,667,848",4.046,,,,,
1/13/17,"152,328,667,848",4.046,,,,,
1/16/17,"152,328,667,848",4.046,,,,,
1/17/17,"152,328,667,848",4.046,,,,,
1/18/17,"152,328,667,848",4.046,,,,,
1/19/17,"152,328,667,848",4.046,,,,,
1/20/17,"152,328,667,848",4.046,,,,,
1/23/17,"152,328,667,848",4.046,,,,,
1/24/17,"152,328,667,848",4.046,,,,,
1/25/17,"152,328,667,848",4.046,,,,,
1/26/17,"152,328,667,848",4.046,,,,,
1/27/17,"152,328,667,848",4.046,,,,,
1/30/17,"152,328,667,848",4.046,,,,,
1/31/17,"152,328,667,848",4.046,,,,,
2/1/17,"152,328,667,848",4.046,,,,,
2/2/17,"152,328,667,848",4.046,,,,,
2/3/17,"152,328,667,848",4.046,,,,,
2/6/17,"152,328,667,848",4.046,,,,,
2/7/17,"152,328,667,848",4.046,,,,,
2/8/17,"152,328,667,848",4.046,,,,,
2/9/17,"152,328,667,848",4.046,,,,,
2/10/17,"152,328,667,848",4.046,,,,,
2/13/17,"152,328,667,848",4.046,,,,,
2/14/17,"152,328,667,848",4.046,,,,,
2/15/17,"152,328,667,848",4.046,,,,,
2/16/17,"152,328,667,848",4.046,,,,,
2/17/17,"152,328,667,848",4.046,,,,,
2/20/17,"152,328,667,848",4.046,,,,,
2/21/17,"152,328,667,848",4.046,,,,,
2/22/17,"152,328,667,848",4.046,,,,,
2/23/17,"152,328,667,848",4.046,,,,,
2/24/17,"152,328,667,848",4.046,,,,,
2/27/17,"152,328,667,848",4.046,,,,,
2/28/17,"152,328,667,848",4.046,,,,,
3/1/17,"152,328,667,848",4.046,,,,,
3/2/17,"152,328,667,848",4.046,,,,,
3/3/17,"152,328,667,848",4.046,,,,,
3/6/17,"152,328,667,848",4.046,,,,,
3/7/17,"152,328,667,848",4.046,,,,,
3/8/17,"152,328,667,848",4.046,,,,,
3/9/17,"152,328,667,848",4.046,,,,,
3/10/17,"152,328,667,848",4.046,,,,,
3/13/17,"152,328,667,848",4.046,,,,,
3/14/17,"152,328,667,848",4.046,,,,,
3/15/17,"152,328,667,848",4.046,,,,,
3/16/17,"152,328,667,848",4.046,,,,,
3/17/17,"152,328,667,848",4.046,,,,,
3/20/17,"152,328,667,848",4.046,,,,,
