Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
