Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
11/15/19,0.303688088,-0.160725536,6.9,0.069772999,-0.019102309,2.20%,-0.003129903,128.8042477,0.375994206,"12,240,000,000",7.21,8,1.012698377,26.476912,0.012618429
11/18/19,0.310342567,-0.194033645,6.9,0.069772999,-0.019102309,2.20%,0.001707759,-224.1551551,0.342834881,"12,240,000,000",7.21,8,1.020550332,27.021021,0.020342023
11/19/19,0.310342567,-0.292996477,6.9,0.069772999,-0.019102309,2.20%,0.001707759,-224.1551551,0.342834881,"12,240,000,000",7.21,8,1,27.021021,0
11/20/19,0.298247199,0.045472806,6.9,0.069772999,-0.019102309,2.20%,0.020175134,-18.56963869,0.328524994,"12,240,000,000",7.21,8,1.008191195,27.242355,0.008157829
11/21/19,0.298247199,0.054765099,6.9,0.069772999,-0.019102309,2.20%,0.01294747,-27.84345792,0.341413142,"12,240,000,000",7.21,8,1,27.242355,0
11/22/19,0.298247199,0.074854479,6.9,0.069772999,-0.019102309,2.20%,0.022596049,-16.61017039,0.327930424,"12,240,000,000",7.21,8,1,27.242355,0
11/25/19,0.298362644,0.107337025,6.9,0.069772999,-0.019102309,2.20%,0.025975538,-14.31903848,0.276433474,"12,240,000,000",7.21,8,1.003385173,27.334578,0.003379456
11/26/19,0.307185744,0.097556539,6.9,0.069772999,-0.019102309,2.20%,0.020972514,-18.92391362,0.321897381,"12,240,000,000",7.21,8,0.975371153,26.661356,-0.024937211
11/27/19,0.307820757,0.15191805,6.9,0.069772999,-0.019102309,2.20%,0.023644974,-16.50800822,0.310517307,"12,240,000,000",7.21,8,1.00657212,26.836578,0.006550618
11/29/19,0.307779358,0.145980368,6.9,0.069772999,-0.019102309,2.20%,-0.022427085,17.40446537,0.310517307,"12,240,000,000",7.21,8,1,26.836578,0
12/2/19,0.304592163,-0.071022636,6.9,0.069772999,-0.019102309,2.20%,-0.02578167,15.97366779,0.294309061,"12,240,000,000",7.21,8,1,26.836578,0
12/3/19,0.319176785,0.354852364,6.9,0.069772999,-0.019102309,2.20%,-0.062887692,7.082199507,0.355448276,"12,240,000,000",7.21,8,0.963573918,25.859028,-0.037106076
12/4/19,0.340039669,0.767346128,6.9,0.069772999,-0.019102309,2.20%,-0.061875452,6.5761711,0.294494999,"12,240,000,000",7.21,8,1.039229599,26.873466,0.038479669
12/5/19,0.340272818,0.816703202,6.9,0.069772999,-0.019102309,2.20%,-0.049936019,7.635967058,0.378670433,"12,240,000,000",7.21,8,1.012011016,27.196243,0.011939456
12/6/19,0.35036647,1.13905786,6.9,0.069772999,-0.019102309,2.20%,-0.043162947,8.1453327,0.366306394,"12,240,000,000",7.21,8,1.030179688,28.017021,0.029733241
12/9/19,0.3587241,1.398109894,6.9,0.069772999,-0.019102309,2.20%,-0.070525323,5.373090429,0.419882903,"12,240,000,000",7.21,8,0.973008557,27.260801,-0.027362402
12/10/19,0.361551005,1.507612328,6.9,0.069772999,-0.019102309,2.20%,-0.058340208,7.173807025,0.373042412,"12,240,000,000",7.21,8,0.985453315,26.864244,-0.014653526
12/11/19,0.361468788,1.388166701,6.9,0.069772999,-0.019102309,2.20%,-0.040149518,10.91626349,0.456842976,"12,240,000,000",7.21,8,0.980432543,26.338579,-0.019761434
12/12/19,0.362427662,1.377865916,6.9,0.069772999,-0.019102309,2.20%,-0.030046684,14.25048706,0.444027275,"12,240,000,000",7.21,8,1.010154097,26.606026,0.01010289
12/13/19,0.338634796,1.72978814,6.9,0.069772999,-0.019102309,2.20%,0.034324781,-11.98370709,0.335326977,"12,240,000,000",7.21,8,1.016984402,27.057911,0.01684178
12/16/19,0.338463265,1.781008211,6.9,0.069772999,-0.019102309,2.20%,0.021706313,-18.95016074,0.342046521,"12,240,000,000",7.21,8,1,27.057911,0
