Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversioj,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
10/7/15,0.247934899,0.814082893,2.9,0.117405175,0.931662558,0.00%,-0.050890258,-2.374371092,1.423795623,"9,128,340,000",3.294,9,1.01251244,111.669998,0.012434806
10/8/15,0.234132727,0.822427203,2.9,0.117405175,0.931662558,0.00%,-0.050702288,-2.034715828,1.788306925,"9,128,340,000",3.294,9,1.000358207,111.709999,0.000358143
10/9/15,0.22843086,0.82522344,2.9,0.117405175,0.931662558,0.00%,-0.053462717,-2.472222578,1.474982949,"9,128,340,000",3.294,9,1.005729111,112.349998,0.005712762
10/12/15,0.228765407,0.825646004,2.9,0.117405175,0.931662558,0.00%,-0.049297547,-2.600877775,1.467269715,"9,128,340,000",3.294,9,1.002225189,112.599998,0.002222717
10/13/15,0.227956621,0.823115956,2.9,0.117405175,0.931662558,0.00%,-0.076560956,-1.535188955,1.537735831,"9,128,340,000",3.294,9,0.986678508,111.099998,-0.013411019
10/14/15,0.223626612,0.879412884,2.9,0.117405175,0.931662558,0.00%,-0.0721017,-1.823065859,1.335523745,"9,128,340,000",3.294,9,1.00405045,111.550003,0.004042269
10/15/15,0.245607527,1.002322436,2.9,0.117405175,0.931662558,0.00%,-0.043003701,-3.732521528,1.345405997,"9,128,340,000",3.294,9,1.034334324,115.379997,0.033758055
10/16/15,0.249368777,1.01564769,2.9,0.117405175,0.931662558,0.00%,-0.016807101,-10.74561175,1.459180922,"9,128,340,000",3.294,9,1.017594098,117.410004,0.017441114
10/19/15,0.247671681,1.047996548,2.9,0.117405175,0.931662558,0.00%,-0.012276301,-14.15090702,1.606039704,"9,128,340,000",3.294,9,0.999829614,117.389999,-0.0001704
10/20/15,0.241441497,1.09000707,2.9,0.117405175,0.931662558,0.00%,0.000510464,338.1344497,1.769776194,"9,128,340,000",3.294,9,1.001618562,117.580002,0.001617254
10/21/15,0.242969967,1.135396624,2.9,0.117405175,0.931662558,0.00%,-0.006528128,-20.80972105,2.161782222,"9,128,340,000",3.294,9,0.986902526,116.040001,-0.013184002
10/22/15,0.292116314,0.787823177,2.9,0.117405175,0.931662558,0.00%,-0.051608249,-1.554064383,3.131220076,"9,128,340,000",3.294,9,0.94372631,109.510002,-0.05791908
