Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
12/4/19,0.682929277,2.739213839,2.1,-0.291581372,1.761837456,0.00%,0.088699136,2.328760198,4.529396265,,,9,0.933368412,17.790001,-0.068955288
12/5/19,0.685808362,2.836663177,2.1,-0.291581372,1.761837456,0.00%,0.072349929,3.516510861,3.57278713,,,9,0.958403487,17.049999,-0.042486413
12/6/19,0.6902902,3.017013342,2.1,-0.291581372,1.761837456,0.00%,0.163616918,1.720379424,3.313946115,,,9,1.037536776,17.690001,0.03684942
12/9/19,0.698178692,3.210130862,2.1,-0.291581372,1.761837456,0.00%,0.018305736,17.7451169,2.644006511,,,9,0.966082478,17.09,-0.034506068
12/10/19,0.689017154,2.708528645,2.1,-0.291581372,1.761837456,0.00%,-0.003942669,-89.93424762,2.547780475,,,9,1.036863604,17.719999,0.036200392
12/11/19,0.697773252,2.414466183,2.1,-0.291581372,1.761837456,0.00%,-0.03002875,-9.839999659,2.71973349,,,9,0.944130979,16.73,-0.057490374
12/12/19,0.698042395,2.465661538,2.1,-0.291581372,1.761837456,0.00%,-0.020343509,-14.80962507,2.757561785,,,9,1.017931919,17.030001,0.017773038
12/13/19,0.688255537,2.240267956,2.1,-0.291581372,1.761837456,0.00%,-0.013314177,-23.97860109,2.724746711,,,9,1.007633529,17.16,0.007604541
12/16/19,0.683680799,1.598387523,2.1,-0.291581372,1.761837456,0.00%,-0.110000842,-3.012314547,2.510032643,,,9,0.977272727,16.77,-0.022989518
12/17/19,0.684427532,1.680864169,2.1,-0.291581372,1.761837456,0.00%,-0.05632119,-7.99870203,1.940771635,,,9,1.029218843,17.26,0.02880011
12/18/19,0.684567099,1.684225721,2.1,-0.291581372,1.761837456,0.00%,-0.122109391,-3.469715363,1.967519724,,,9,0.994785632,17.17,-0.005228011
12/19/19,0.68102139,1.521234565,2.1,-0.291581372,1.761837456,0.00%,-0.124190321,-3.021413443,2.243431265,,,9,0.986604601,16.940001,-0.013485927
12/20/19,0.670592171,1.887275514,2.1,-0.291581372,1.761837456,0.00%,-0.183545598,-2.364744701,1.918975299,,,9,0.963990498,16.33,-0.036673841
12/23/19,0.57952666,1.650698715,2.1,-0.291581372,1.761837456,0.00%,-0.165800632,-3.333543778,1.524296703,,,9,1.015309247,16.58,0.015193243
12/24/19,0.555596957,1.995081674,2.1,-0.291581372,1.761837456,0.00%,-0.192976132,-3.135898288,1.374996429,,,9,1.022919119,16.959999,0.022660422
12/26/19,0.566810673,1.630375093,2.1,-0.291581372,1.761837456,0.00%,-0.225126683,-2.03731493,1.630800194,,,9,0.950471813,16.120001,-0.050796772
12/27/19,0.566247483,1.631008177,2.1,-0.291581372,1.761837456,0.00%,-0.223019808,-2.15036092,1.509506828,,,9,1.003101675,16.17,0.003096874
12/30/19,0.57992867,1.996211576,2.1,-0.291581372,1.761837456,0.00%,-0.253758187,-1.641470323,1.596614501,,,9,0.954854669,15.44,-0.046196129
12/31/19,0.548379605,1.352913668,2.1,-0.291581372,1.761837456,0.00%,-0.154239304,-2.446495959,1.620866257,"1,593,579,480",21.768,9,1.044689054,16.129999,0.043719286
1/2/20,0.547330189,1.421007931,1.7,-0.108571429,3.388433982,0.00%,-0.153363948,-2.403045898,1.539706905,,,9,1.013639244,16.35,0.013547067
1/3/20,0.511474318,1.536469856,1.7,-0.108571429,3.388433982,0.00%,-0.098575759,-4.204896945,1.493456975,,,9,,,
1/6/20,0.511199657,1.539188152,1.7,-0.108571429,3.388433982,0.00%,-0.060441358,-5.258498839,1.985168712,,,9,,,
1/7/20,0.504986167,1.710181365,1.7,-0.108571429,3.388433982,0.00%,-0.114256249,-1.301228805,3.799315636,,,9,,,
1/8/20,0.516277035,1.876004597,1.7,-0.108571429,3.388433982,0.00%,-0.049785393,-4.386599428,2.57799224,,,9,,,
1/9/20,0.492985713,1.56710462,1.7,-0.108571429,3.388433982,0.00%,-0.068307847,-2.335050536,3.819139646,,,9,,,
1/10/20,0.494084248,1.448520716,1.7,-0.108571429,3.388433982,0.00%,-0.000597967,-267.3201043,3.916642358,,,9,,,
1/13/20,0.580396816,2.182076721,1.7,-0.108571429,3.388433982,0.00%,0.076286509,3.48420369,2.766673757,,,9,,,
